source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
benchmark_pareto,0.06,1670.0,0.06,1252.0,Completed,4814,4843,0.938,0.847,intersection,0.051,False
benchmark_pareto,0.08,1696.0,0.08,1321.0,Completed,4913,3787,0.186,0.216,intersection,0.086,False
benchmark_pareto,0.1,2119.0,0.09,1632.0,Completed,4145,1317,0.063,0.02,intersection,0.034,True
benchmark_pareto,0.2,2263.0,0.19,1765.0,Completed,3570,362,0.228,0.009,intersection,0.061,True
benchmark_max_rt,,14387.0,,7790.0,Completed,4858,4515,0.058,0.38,kl,0.016,False
benchmark_min_acc,0.03,,0.03,,Completed,288,156,0.196,0.294,str('intersection'),0.08,False
paper_default,-1.0,-1.0,0.06,1603.0,Completed,2000,2000,0.999,0.005,intersection,100.0,False
paper_default,-1.0,-1.0,,,MAX_RT,2000,2000,0.999,0.005,kl,100.0,False
recommendation_system,0.3945918981481479,0.9758155612062704,0.07,1542.0,Completed,4726,4665,0.2517660811133682,0.2221233193576336,intersection,0.0354408013727515,False
recommendation_system,0.3953333333333331,0.974685518938332,0.05,1647.0,Completed,4789,4597,0.2759436986612259,0.252964759239344,intersection,0.0453360605241419,False
recommendation_system,0.3993928240740739,0.9740082941489016,0.05,1702.0,Completed,3380,4708,0.210784056244418,0.19621259111166,intersection,0.0227026798762381,False
recommendation_system,0.4004604166666666,0.9729449368296434,0.05,1607.0,Completed,1049,4721,0.5416015577262793,0.0208915275290673,intersection,0.0342337709462752,False
recommendation_system,0.4009016203703703,0.9724306798693556,0.05,1353.0,Completed,1764,4693,0.507255351947803,0.0395959351868179,intersection,0.0311326288062583,False
recommendation_system,0.4225074074074074,0.9629219507437772,0.05,1368.0,Completed,3181,4511,0.405458290413022,0.0314152510464191,intersection,0.0801460445392876,False
recommendation_system,0.4234134259259258,0.9568494660744872,0.05,1445.0,Completed,968,2102,0.380998413413763,0.0191536958515644,intersection,0.0813608771841973,False
recommendation_system,0.4269258101851851,0.956763001982946,0.08,1317.0,Completed,4081,2967,0.3551198509056121,0.0180033708214759,intersection,0.0184520591981709,False
recommendation_system,0.4360958333333332,0.9526022235967614,0.06,1477.0,Completed,4543,2127,0.3204973223935812,0.0222860034704208,intersection,0.0452604585979133,False
recommendation_system,0.444180324074074,0.9468739011164814,0.06,1711.0,Completed,4865,1897,0.4248419062342038,0.0269336847280524,intersection,0.0377019214507958,False
recommendation_system,0.4459452546296296,0.9413133183129088,0.06,1773.0,Completed,4463,1378,0.0151145353075116,0.0937308614253997,intersection,0.0270321620255708,False
recommendation_system,0.4569116898148148,0.9376511386989528,0.06,1786.0,Completed,1741,754,0.1929889431833388,0.071463375254496,intersection,0.0823571598350766,False
recommendation_system,0.470707986111111,0.9213335184555872,0.07,1861.0,Completed,1744,613,0.1929889431833388,0.038519375316198,intersection,0.0199216337180963,False
recommendation_system,0.4900908564814815,0.9048446116127744,0.07,1899.0,Completed,1208,248,0.1929889431833388,0.0345660186643141,intersection,0.083112718702929,False
recommendation_system,0.5083049768518518,0.8843438664535118,0.07,1908.0,Completed,4813,315,0.225166628205994,0.0743551384589359,intersection,0.0801533191865193,False
recommendation_system,0.5223016203703702,0.8227562670114168,0.08,1927.0,Completed,4713,116,0.1294067184454765,0.0977379534907326,intersection,0.0804225347551939,False
recommendation_system,0.5517975694444445,0.7988458483064386,0.12,1972.0,Completed,4789,82,0.2253224346112667,0.0537213686609892,intersection,0.0771492021116204,False
recommendation_system,0.5535153935185186,0.7956810052789747,0.12,1962.0,Completed,4865,82,0.1929889431833388,0.038519375316198,intersection,0.0851741956952242,False
recommendation_system,0.5580792824074075,0.794457063329439,0.12,1647.0,Completed,4865,82,0.2151320479065261,0.038519375316198,intersection,0.0848683503989039,False
recommendation_system,0.5725730324074078,0.6481142233624267,0.19,1935.0,Completed,4777,59,0.2496504626564669,0.071545477976781,intersection,0.0830264002584218,True
