index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0.4046189542483656,0.958618067124446,1702,4697,0.0300458300653845,0.61699371172674,intersection,0.0713640410266816,False
1,0.4075391884531585,0.95850233923459,4738,4751,0.0289298574832522,0.7430212397790246,intersection,0.0296696271039247,False
2,0.4091697167755989,0.9575657287713394,909,4609,0.0367941171862185,0.6060763069968671,intersection,0.0919693222083151,False
3,0.4130384259259255,0.9570008627740708,3022,4751,0.1263362879863567,0.7430212397790246,intersection,0.0197097196589549,False
4,0.4136191448801739,0.956431931880912,3415,4696,0.0256345491074025,0.7748994964882732,intersection,0.0185104870982468,False
5,0.4173424291938993,0.9563723097558512,3022,4751,0.0550983078159572,0.9489003134653402,intersection,0.0203401226828747,False
6,0.4175351579520694,0.9547877290976916,2934,4118,0.1377186322752386,0.7522809515446425,intersection,0.017932314062491,False
7,0.4234272058823526,0.9429042265469048,4738,3415,0.0550983078159572,0.9489003134653402,intersection,0.0169611189904413,False
8,0.4478693491285401,0.8955461889468204,4840,897,0.0379967797789722,0.1213672395199537,intersection,0.0100541941169649,False
9,0.4624694172113289,0.8768909415477534,4738,426,0.0289298574832522,0.2476090275421261,intersection,0.021590445396449,False
10,0.5399346473311546,0.8288167965154126,4612,416,0.2590882818771682,0.0555010826070421,intersection,0.0750916098764124,True
11,0.5504338196389665,0.815086459641705,4375,285,0.2750980065600109,0.0524445913549624,intersection,0.0727144799997602,True
12,0.5524878404139434,0.776782620862985,4499,235,0.2569602759667572,0.0052227529906742,intersection,0.0744700895146412,True
13,0.5572731306411454,0.7697896812370401,4286,169,0.1944558368408545,0.0417765572907743,intersection,0.0757998329331582,True
14,0.5592400326797385,0.7696740639094598,4557,166,0.2689426968020511,0.0548779909883223,intersection,0.0675016901447472,True
15,0.5639446078431369,0.7684039212986761,4398,153,0.1849147332143369,0.0581556499530444,intersection,0.0793670723160875,True
16,0.5750299904684096,0.7513910479231523,4663,102,0.2438734058590535,0.0364170480560209,intersection,0.0755534809280691,True
17,0.5600583158263308,0.7586632017667334,4166,131,0.3015387769478233,0.0424755987424053,intersection,0.0680379809972736,True
18,0.5637005748132587,0.7524821300938211,4371,110,0.2995743473419328,0.0466505497448878,intersection,0.0683192346657515,True
19,0.5706849196623095,0.7461404670275992,4549,77,0.2609484879232704,0.0371132481601593,intersection,0.0779407810690145,True
