index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,threshold,window_size
0,0.7285220552117105,0.858367465431817,2.0,3.0,0.3111654103655353,1.0
1,0.7306140305203523,0.8582205478908681,1.0,3.0,0.3078422269397827,1.0
2,0.7366782067655633,0.8555298819446049,1.0,3.0,0.3427384256947223,1.0
3,0.7372028981235879,0.8527170630752479,1.0,3.0,0.3379533857417083,1.0
4,0.7395069950660949,0.8517878033475361,1.0,3.0,0.358047484450594,1.0
5,0.728074524347513,0.8579059368309989,2.0,3.0,0.3076384403621745,1.0
6,0.7361782067655632,0.8555298819446049,1.0,3.0,0.3429543167182763,1.0
7,0.7361831556799948,0.8529457238966419,1.0,3.0,0.327577800356164,1.0
8,0.7366279827204157,0.8515399444612464,2.0,3.0,0.3582658577073785,1.0
9,0.7395069950660949,0.8514320861026331,1.0,3.0,0.356630050655184,1.0
10,0.7395069950660949,0.8514320861026331,1.0,3.0,0.3574541810654565,1.0
11,0.7395069950660949,0.8514320861026331,1.0,3.0,0.3578315790974724,1.0
12,0.7269016807479453,0.8575965791418683,3.0,3.0,0.3046236615731171,1.0
13,0.728074524347513,0.8571505147323666,2.0,3.0,0.3099832856353628,1.0
14,0.7328053672593904,0.8551975484650864,2.0,3.0,0.343963194853274,1.0
15,0.7338519828404887,0.8549896250031759,2.0,3.0,0.3296788696654109,1.0
16,0.7355275894816127,0.8546304911301159,2.0,3.0,0.3415739165087116,1.0
17,0.7357508795341171,0.8539662103390276,1.0,3.0,0.3158743868910909,1.0
18,0.7364326412767026,0.8514235643443583,1.0,3.0,0.3304258227102166,1.0
19,0.739408229633996,0.851136858700404,1.0,3.0,0.3536491100581171,1.0
