source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,const,max_depth,threshold
benchmark_pareto,0.91,0.0,0.91,0.0,Completed,2128.0,4146.0,3.837,15.0,0.914
benchmark_pareto,0.92,2.0,0.92,1.0,Completed,3912.0,137.0,10.0,20.0,0.447
benchmark_pareto,0.93,109.0,0.93,49.0,Completed,2712.0,1.0,10.0,20.0,0.999
benchmark_max_rt,,4075.0,,2135.0,Completed,3578.0,192.0,0.001,20.0,0.425
benchmark_min_acc,0.9,,0.9,,Completed,238.0,233.0,0.967,14.0,0.048
paper_default,-1.0,-1.0,0.91,0.0,Completed,100.0,100.0,1.0,3.0,0.5
paper_default,-1.0,-1.0,0.91,0.0,Completed,100.0,100.0,4.0,3.0,0.5
paper_default,-1.0,-1.0,0.91,0.0,Completed,100.0,100.0,55.0,3.0,0.5
paper_default,-1.0,-1.0,0.91,0.0,Completed,100.0,100.0,99.0,3.0,0.5
paper_default,-1.0,-1.0,0.91,0.0,Completed,100.0,100.0,45.0,3.0,0.5
paper_default,-1.0,-1.0,0.91,0.0,Completed,100.0,100.0,65.0,3.0,0.5
paper_default,-1.0,-1.0,0.91,0.0,Completed,100.0,100.0,85.0,3.0,0.5
recommendation_system,0.3972908965765065,0.934233287616648,0.91,0.0,Completed,276.0,4426.0,0.2497098167799413,1.0,0.4511374178156256
recommendation_system,0.4210183040608179,0.9330462218371146,0.91,0.0,Completed,720.0,4242.0,2.6820176010588184,1.0,0.33941136261262
recommendation_system,0.429367641147074,0.931467423261632,0.91,0.0,Completed,680.0,4190.0,0.1299413903271779,1.0,0.5028994604740292
recommendation_system,0.4363174772713286,0.931402070957351,0.91,0.0,Completed,511.0,3381.0,0.2124990392567665,1.0,0.4297908245178267
recommendation_system,0.4410270519075019,0.9294455238892916,0.91,0.0,Completed,631.0,3371.0,0.0053585285321548,1.0,0.6043318800684396
recommendation_system,0.4468180489837455,0.9274815926249694,0.91,0.0,Completed,839.0,3603.0,0.0409523533611397,1.0,0.3282726204562048
recommendation_system,0.4544825579647519,0.9273402665302078,0.91,0.0,Completed,764.0,3349.0,0.2373183957622858,1.0,0.4197955809769891
recommendation_system,0.4570363204302151,0.9257495158065144,0.91,0.0,Completed,731.0,3208.0,0.0409523533611397,1.0,0.3282726204562048
recommendation_system,0.4610000006991278,0.9251957821144556,0.91,0.0,Completed,786.0,3260.0,0.6767429572945443,1.0,0.5156612679906684
recommendation_system,0.4927015851692445,0.9117269106328126,0.91,0.0,Completed,3924.0,4413.0,0.2204310970688238,1.0,0.0422700294312089
recommendation_system,0.609695483174771,0.8510234689947382,0.91,0.0,Completed,4027.0,1701.0,5.865685616641306,1.0,0.6912215258590877
recommendation_system,0.6704325653755163,0.823802948630653,0.91,0.0,Completed,3750.0,1189.0,1.6102132771828996,1.0,0.3282726204562048
recommendation_system,0.6911660596969337,0.8107047390321056,0.91,0.0,Completed,1124.0,597.0,6.142298458594342,1.0,0.7433080333069911
recommendation_system,0.7350226455620714,0.7859462993083252,0.91,0.0,Completed,3471.0,597.0,1.2851965577938644,1.0,0.7433080333069911
recommendation_system,0.7717551064353394,0.7778848647864411,0.91,0.0,Completed,3798.0,539.0,7.068053043346853,1.0,0.6658671081773937
recommendation_system,0.7756293844005272,0.7611655686855289,0.91,0.0,Completed,3276.0,375.0,3.4353042614169045,1.0,0.7020490350463745
recommendation_system,0.7939825608822709,0.7599910599925862,0.91,0.0,Completed,3801.0,357.0,7.301862070227016,1.0,0.7205677187717892
recommendation_system,0.8042413712142954,0.6816529474551057,0.91,0.0,Completed,2806.0,150.0,1.0713194177094847,1.0,0.9871267535500228
recommendation_system,0.8065566260228798,0.6648366433238235,0.91,0.0,Completed,2649.0,152.0,2.998974737286568,3.0,0.2637108545415103
recommendation_system,0.8066613990990745,0.6514522223362484,0.91,0.0,Completed,2459.0,143.0,2.52895742188156,3.0,0.1699306123414275
