index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_clusters,threshold
0,0.5249811747864984,0.7601276524373418,9.0,636.0,1.0,0.9945092283090612
1,0.5270317152078163,0.7567542306518344,6.0,595.0,1.0,0.9908846641321178
2,0.5427050418358551,0.7556322155349706,10.0,569.0,1.0,0.9963972605532024
3,0.5467893956436255,0.7549420801609218,3.0,519.0,1.0,0.993408653537809
4,0.6166567585792648,0.7523838221994832,2.0,280.0,1.0,0.9958351549137936
5,0.635868976256981,0.7515128733394877,13.0,239.0,1.0,0.9936148505894732
6,0.6902990191770025,0.7457500580753759,1.0,140.0,1.0,0.9958858166797058
7,0.7782235777281131,0.7085932071639807,149.0,181.0,2.0,0.9928929315560828
8,0.8389261907478307,0.657484549889205,218.0,96.0,2.0,0.9969219405895864
9,0.8402637882381452,0.5986819081223688,158.0,89.0,9.0,0.6633195644691586
10,0.8423252178920293,0.5188643029129851,437.0,91.0,10.0,0.7008526091668755
11,0.843717076462969,0.490333408084002,809.0,123.0,10.0,0.978071659348905
12,0.5193867355105113,0.7590126742961184,2.0,598.0,1.0,0.9894403766835982
13,0.521157932850956,0.752349649297562,3.0,604.0,1.0,0.9769479054569148
14,0.6137543725144706,0.749079853094983,6.0,241.0,1.0,0.982340531168426
15,0.7417462353005804,0.7158423558497355,100.0,162.0,1.0,0.9795977290099834
16,0.7757229063934492,0.703037794546925,158.0,169.0,2.0,0.9808769080076964
17,0.836783820063376,0.6476789287738963,218.0,96.0,1.0,0.9969219405895864
18,0.837369100201444,0.5190329926206763,636.0,138.0,10.0,0.6734326508250088
19,0.8402860187775926,0.4662297748569426,812.0,113.0,10.0,0.7460335829108954
