source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
benchmark_pareto,0.29,4.0,0.29,2.0,Completed,1848,8,1768,H,3,stdev,0.381,5
benchmark_max_rt,,559.0,,292.0,Completed,899,15,39,KL,1,tstat,0.52,100
benchmark_min_acc,0.1,,0.1,,Completed,3056,9,2988,str('H'),3,str('stdev'),0.377,85
paper_default,-1.0,-1.0,0.17,4.0,Completed,100,0,100,KL,1,stdev,0.001,5
paper_default,-1.0,-1.0,0.17,3.0,Completed,100,0,100,KL,2,stdev,0.001,5
paper_default,-1.0,-1.0,0.17,3.0,Completed,100,0,100,KL,3,stdev,0.001,5
paper_default,-1.0,-1.0,0.17,4.0,Completed,100,0,100,KL,1,stdev,0.5,5
paper_default,-1.0,-1.0,0.17,3.0,Completed,100,0,100,KL,2,stdev,0.5,5
paper_default,-1.0,-1.0,0.17,3.0,Completed,100,0,100,KL,3,stdev,0.5,5
paper_default,-1.0,-1.0,0.17,3.0,Completed,100,0,100,KL,1,stdev,0.999,5
paper_default,-1.0,-1.0,0.17,3.0,Completed,100,0,100,KL,2,stdev,0.999,5
paper_default,-1.0,-1.0,0.17,3.0,Completed,100,0,100,KL,3,stdev,0.999,5
recommendation_system,0.8485959125243665,0.9131017122595204,0.17,2.0,Completed,3350,55,4987,H,3,stdev,0.8813986528285032,72
recommendation_system,0.8613787361923327,0.9109180662997588,0.17,2.0,Completed,2781,55,4987,H,3,stdev,0.7100820566155229,75
recommendation_system,0.8633796042478882,0.9096959358468016,0.17,2.0,Completed,3350,55,4987,H,3,stdev,0.7159813871157595,75
recommendation_system,0.8860981562703055,0.8924519911251214,0.17,2.0,Completed,2653,68,4987,H,3,stdev,0.0256402367025534,1
recommendation_system,0.8979874234964456,0.8655513816408523,0.29,2.0,Completed,4112,8,2020,H,3,stdev,0.0256402367025534,3
recommendation_system,0.8993032700043958,0.8641560692023321,0.29,2.0,Completed,3935,8,3457,H,3,stdev,0.0136035200232617,3
recommendation_system,0.904338375938826,0.8532254171467774,0.29,2.0,Completed,3611,8,1684,H,3,stdev,0.0136035200232617,3
recommendation_system,0.9055540622133356,0.8421630636401679,0.12,3.0,Completed,535,9,3533,H,2,tstat,0.0036145596280694,1
recommendation_system,0.8262126100074535,0.9132184573752116,0.17,2.0,Completed,3589,51,4206,H,3,stdev,0.8634693618975028,77
recommendation_system,0.8849210335206209,0.8827050766175364,0.29,2.0,Completed,2781,8,4994,H,3,stdev,0.0136035200232617,89
recommendation_system,0.8957113373370792,0.8775248624274606,0.29,2.0,Completed,3548,8,4998,H,3,stdev,0.0136035200232617,3
recommendation_system,0.8976754018676185,0.8621184565794048,0.29,2.0,Completed,3548,8,2358,H,3,stdev,0.0136035200232617,3
recommendation_system,0.8979143811155069,0.8610242630110859,0.29,2.0,Completed,3935,8,3119,H,3,stdev,0.0136035200232617,3
recommendation_system,0.8985914644488402,0.8606188256602807,0.29,2.0,Completed,3611,8,3457,H,3,stdev,0.0136035200232617,3
recommendation_system,0.8986815015479876,0.8477710121887246,0.29,2.0,Completed,3548,8,1819,H,3,stdev,0.0418033748227155,3
recommendation_system,0.905526004937794,0.7784022234328214,0.17,5.0,Completed,2700,3,683,H,1,stdev,0.1838599147237837,1
recommendation_system,0.8629601963531514,0.9059545491546313,0.17,2.0,Completed,3257,55,4987,H,3,stdev,0.7159813871157595,84
recommendation_system,0.8703301250812219,0.893278135335374,0.17,2.0,Completed,3152,55,4987,H,3,stdev,0.1564515072635019,67
recommendation_system,0.8846389103887172,0.8829608362182599,0.29,2.0,Completed,3611,8,3457,H,3,stdev,0.0136035200232617,87
recommendation_system,0.8974885737372432,0.8398518846417977,0.17,3.0,Completed,4757,3,359,H,3,stdev,0.2665712052006274,1
