source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
benchmark_pareto,0.91,0.0,0.91,0.0,Completed,5000.0,1.0,5000.0,0.999,0.9
benchmark_pareto,0.92,203.0,0.92,88.0,Completed,5000.0,389.0,1.0,0.999,0.9
benchmark_max_rt,,748.0,,305.0,Completed,5000.0,1.0,1.0,0.999,0.9
benchmark_min_acc,0.9,,0.9,,Completed,1.0,1.0,1.0,0.999,0.0
paper_default,-1.0,-1.0,0.91,0.0,Completed,500.0,500.0,500.0,0.05,1e-09
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000.0,500.0,500.0,0.05,1e-09
recommendation_system,0.6942720093087734,0.6519127318573794,0.91,0.0,Completed,2279.0,1924.0,1.0,0.0637612727911224,0.9
recommendation_system,0.7067721330956619,0.6517714401597658,0.91,0.0,Completed,4208.0,1942.0,3.0,0.0508801437955204,0.9
recommendation_system,0.7067721330956619,0.6517714401597658,0.91,0.0,Completed,4218.0,1942.0,3.0,0.0491312666302998,0.9
recommendation_system,0.7157620320855607,0.6468386641796189,0.91,0.0,Completed,4208.0,1942.0,3.0,0.0508801437955204,0.8
recommendation_system,0.7157620320855607,0.6468386641796189,0.91,0.0,Completed,4218.0,1942.0,3.0,0.0491312666302998,0.8
recommendation_system,0.7211900871459688,0.6369989699183813,0.91,0.0,Completed,3875.0,1942.0,3.0,0.0508801437955204,0.7
recommendation_system,0.7588685878391755,0.6146024417262251,0.91,0.0,Completed,4101.0,2289.0,3.0,0.2259097169720594,0.3
recommendation_system,0.7890379283026338,0.5817505081190059,0.91,0.0,Completed,4005.0,2676.0,7.0,0.2985375233658226,0.3
recommendation_system,0.7911743662111304,0.578002043421503,0.91,0.0,Completed,3799.0,2706.0,7.0,0.2985375233658226,0.3
recommendation_system,0.7920771439889082,0.5755930917230568,0.91,0.0,Completed,3730.0,2707.0,7.0,0.3026728967169707,0.3
recommendation_system,0.792681719152307,0.5511694065893188,0.91,0.0,Completed,3934.0,2564.0,10.0,0.3337009250445924,0.3
recommendation_system,0.7940338433353136,0.5263824935642832,0.91,0.0,Completed,3956.0,2656.0,15.0,0.3315387816845219,0.3
recommendation_system,0.7061321548821542,0.6517067145422814,0.91,0.0,Completed,4178.0,1758.0,3.0,0.1006123704822372,0.9
recommendation_system,0.7064412507427207,0.6491766124828301,0.91,0.0,Completed,4101.0,1942.0,3.0,0.0508801437955204,0.9
recommendation_system,0.7073317736185375,0.6466876753774567,0.91,0.0,Completed,4908.0,1814.0,3.0,0.0508801437955204,0.9
recommendation_system,0.7329373390770441,0.6184954499746984,0.91,0.0,Completed,1315.0,2396.0,3.0,0.2487227588508646,0.8
recommendation_system,0.7464278817587636,0.6099231774296817,0.91,0.0,Completed,4101.0,2289.0,3.0,0.0508801437955204,0.3
recommendation_system,0.789177931273519,0.5730229914092246,0.91,0.0,Completed,3730.0,2707.0,7.0,0.3026728967169707,0.4
recommendation_system,0.7910239651416118,0.5719331702732972,0.91,0.0,Completed,4265.0,2661.0,9.0,0.3036863599522734,0.3
recommendation_system,0.7914432313329367,0.5233289834099889,0.91,0.0,Completed,3956.0,2656.0,15.0,0.3315387816845219,0.4
