index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0.312834682646215,0.9878779511359758,1166,4512,6.814493784059772,0.0083228273782879,False,False
1,0.3192426932802318,0.9876953505338468,1343,4412,7.6250566571047536,0.047400187049061,False,False
2,0.3223591201969684,0.9871349172607352,3243,4417,8.109525915617123,0.0051638042554259,False,False
3,0.3226310298748379,0.9866538273349136,1107,4194,8.086227728318423,0.0102440454531461,False,False
4,0.324080233191301,0.9863827882095982,4606,4643,9.221084130759351,0.0260633951984345,False,False
5,0.3295963164802172,0.9859403044470002,1575,4474,7.825399720369839,0.0032223389483988,False,False
6,0.3325739075595885,0.984860097781075,3561,4871,7.647048878921197,0.00427195164375,False,False
7,0.3334289439061109,0.9847733611411852,3781,4517,9.348897727733478,0.0028615713119506,False,False
8,0.3364671234767983,0.9836295443246404,3143,4448,4.462977799299174,0.0312146412208676,False,False
9,0.4910306887814628,0.9359218920215768,4553,3574,1.878691069890745,0.0111701980698853,False,False
10,0.518139043318223,0.9083676091770984,2535,3179,1.224174659056589,0.0342882252298295,False,False
11,0.5348261314279112,0.8984975685844114,4756,3210,0.9795522842436668,0.0257503925514698,False,False
12,0.5830476703379176,0.8736088227873389,3623,3360,0.1997360219918191,0.0458230972290039,False,False
13,0.8938264502954896,0.3513865887395707,4616,41,8.677367233498954,0.0313362628687173,False,True
14,0.9093323229058514,0.3375421216744481,3178,47,5.072599834275432,0.0449648120440542,True,True
15,0.914440483579028,0.3364719165574604,2557,50,6.130998947072775,0.0418811954092234,True,True
16,0.9202489302922736,0.3356179385814068,2172,34,7.078729709963315,0.0431413678918033,True,True
17,0.9204991544403308,0.3295801782326797,1926,51,6.6995074536008765,0.0411226102150976,True,True
18,0.9228942754871544,0.3269604379616037,1068,59,6.259791620058008,0.0424606631509959,True,True
19,0.9345240357767436,0.3240547530131577,26,68,6.671965067058802,0.0468284721951931,True,True
